table_name	ordinal_position	column_name	data_type	is_nullable	coalesce
fastcampus_collect_runs	4	added_count	integer	NO	0
fastcampus_collect_runs	5	updated_count	integer	NO	0
fastcampus_collect_runs	6	hidden_count	integer	NO	0
fastcampus_collect_runs	7	error_message	text	YES	
fastcampus_collect_runs	8	created_at	timestamp with time zone	NO	now()
writer_sessions	1	telegram_user_id	bigint	NO	nextval('writer_sessions_telegram_user_id_seq'::regclass)
writer_sessions	2	summary	text	YES	
writer_sessions	3	updated_at	timestamp with time zone	NO	now()
writer_messages	1	id	integer	NO	nextval('writer_messages_id_seq'::regclass)
writer_messages	2	telegram_user_id	bigint	NO	
writer_messages	3	role	character varying	NO	
writer_messages	4	content	text	NO	
writer_messages	5	created_at	timestamp with time zone	NO	now()
brunch_collect_runs	1	id	integer	NO	nextval('brunch_collect_runs_id_seq'::regclass)
brunch_collect_runs	2	window_start	timestamp with time zone	NO	
brunch_collect_runs	3	window_end	timestamp with time zone	NO	
brunch_collect_runs	4	status	character varying	NO	
brunch_collect_runs	5	candidates_count	integer	NO	0
brunch_collect_runs	6	picked_article_id	integer	YES	
brunch_collect_runs	7	error_message	text	YES	
brunch_collect_runs	8	created_at	timestamp with time zone	NO	now()
newsletter_collect_runs	1	id	integer	NO	nextval('newsletter_collect_runs_id_seq'::regclass)
newsletter_collect_runs	2	status	character varying	NO	
newsletter_collect_runs	3	candidates_count	integer	NO	0
newsletter_collect_runs	4	added_count	integer	NO	0
newsletter_collect_runs	5	error_message	text	YES	
newsletter_collect_runs	6	created_at	timestamp with time zone	NO	now()
card_benefits	1	id	integer	NO	nextval('card_benefits_id_seq'::regclass)
card_benefits	2	source_id	character varying	NO	
card_benefits	3	card_company	character varying	NO	
card_benefits	4	title	character varying	NO	
card_benefits	5	event_period	character varying	NO	
card_benefits	6	event_start_date	date	YES	
card_benefits	7	event_end_date	date	YES	
card_benefits	8	target_cards	character varying	YES	
card_benefits	9	benefit_summary	character varying	YES	
card_benefits	10	benefit_tags	character varying	YES	
card_benefits	11	detail_url	character varying	NO	
card_benefits	12	image_url	character varying	YES	
card_benefits	13	status	character varying	NO	'published'::character varying
card_benefits	14	collected_at	timestamp with time zone	NO	now()
card_benefits	15	countries	character varying	YES	
card_benefit_collect_runs	1	id	integer	NO	nextval('card_benefit_collect_runs_id_seq'::regclass)
card_benefit_collect_runs	2	status	character varying	NO	
card_benefit_collect_runs	3	candidates_count	integer	NO	0
card_benefit_collect_runs	4	added_count	integer	NO	0
card_benefit_collect_runs	5	error_message	text	YES	
card_benefit_collect_runs	6	created_at	timestamp with time zone	NO	now()
